#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
1901606	0.0043	0
1901607	0.0151	0
1901615	0.0033	0
1901616	0.0014	0
1901657	0.0251	0
1901658	0.0147	0
1901659	0.0085	0
1901677	5.0E-4	0
1901682	7.0E-4	0
1902115	3.0E-4	0
1902208	3.0E-4	0
1902494	0.0084	0
1902589	0.0017	0
1990204	0.0029	0
2000112	0.0641	0
2001057	4.0E-4	0
2001141	0.0608	0
